date,rating,review
2026-03-09 23:10:17,2,"""tracking external funds is currently paused. we will come back soon with the updated experience"". This message is popping up for last 10 days when we try to refresh our external mutual funds. please fix it ."
2026-03-09 22:23:31,5,"I love this app! It's easy to use and I can be me without worrying about being judged! Plus, everyone on there is nice and helpful!"
2026-03-09 22:20:02,5,why are my fond decrease 🙃🙃
2026-03-09 21:16:46,2,Many bugs are coming while trading in apps and they are irritating me. please don't encourage me to use other apps. Today apps facing same problem. Why . Today now
2026-03-09 20:32:42,5,Superb app for investing. Clean User interface and seamless payments and investing. Truly trustworthy. Loved it. Kudos to the developers.
2026-03-09 20:07:25,1,do. ot use this app the execution of order is delayed and technical problem and also they do not pick calls ....
2026-03-09 20:07:07,1,"worst app, very high brokerage, and also very worst in order execution , I cancel my order before execution but still that order is executed, worst highly not recommended"
2026-03-09 20:00:25,1,dear groww today I put money in this app while I'm going to lose my money I try to exit but at the same time the app is not working this is a total scam please fix this issue and
2026-03-09 19:52:23,1,worst app dont use it.. it wont exit when your getting into loss... i have lossed my money with this problem... its better to use angelone app 🙌🏻
2026-03-09 19:45:02,1,"In this app, I often face technical errors when trying to exit the market, and because I’m unable to exit on time, I end up incurring losses. I also have screenshots of the technical error, but there is no option to attach them here. otherwise, I would have attached them."
2026-03-09 19:30:09,1,very bad feature app don't use it.
2026-03-09 19:28:05,1,volatility jyada hone order exit nhi hota tha bahut baar aesa hota he loss hota he har bar
2026-03-09 19:17:50,1,"Not at all useful for trading platforms, they are taking tax and other charges from my earned stocks which sucks i am going to uninstall this app for taking taxes in huge amounts ."
2026-03-09 18:38:20,5,It becomes laggy some time
2026-03-09 17:55:33,3,easy to use but charges and brokerage like. touch sky 🙏
2026-03-09 17:45:27,5,best platform for mutual funds investment 😀
2026-03-09 17:41:42,1,overall grow app is good but it takes several hours to withdrawal
2026-03-09 17:15:10,5,why not updating the funds last updated in Feb
2026-03-09 16:59:09,1,External funds tracking has been paused which was one of the USP of this app.
2026-03-09 16:40:40,4,please provide essay mobile number and email change options unlimited time
2026-03-09 16:39:45,2,I invest in a new mutual fund scheme.but older folow is visisble.new one is not showing in grow app. i uninstall many times but not updated any more. help me in this particular problem.
2026-03-09 16:39:16,5,nice and easy to use app
2026-03-09 16:39:06,2,add the technical support & resistance to nifty 50 chart in app like individual stocks are having. add features to commodity section
2026-03-09 15:54:11,5,very easy to understand and used
2026-03-09 15:44:36,2,App is nice and user friendly but at some critical time to stop the loss or withdraw the profit it stops showing exit button due to this inconvenience it is feeling more than worst. why we will need the exit button after loosing all the money? Dear grow team I have faced this difficulty several time during intraday trading which is the worst ever experience. Please look into the matter and resolve the issue at the earliest to loose many users.
2026-03-09 13:11:51,1,worst customer support and irresponsible for the customer service.
2026-03-09 13:04:09,1,worst app money stuck from last two weeks but issue not solved still wating
2026-03-09 12:55:45,5,My first app for investment and it is Best one.
2026-03-09 12:54:50,4,grow ko apne commodity me lower circuit or upper circuit ka option bhi dena chaiye just like angel one .. @developer ispe zara dhyan dena chaiye apko
2026-03-09 12:34:15,2,"speed slow, & devidend receiving problem."
2026-03-09 12:29:27,5,Great app and easy to work with
2026-03-09 12:25:18,1,Terrible experience the app auto-liquidated my mutual funds and refuses to provide any update on the liquidated amount although i have payed for the negative amount.i have been patiently waiting for almost a month.even the customer support fails to provide a solution.Regrets to such a performance by Groww App
2026-03-09 12:10:33,5,"I like this app very much, trading is done easily in it, this is a very good Groww app, anyone can trade in it very easily, it has been 2 years since I am using Groww in it, I like this app I have learnt a lot from you. You should also download Groww and use Groww for future. In this you get to know all the details, that is why I like trading in Groww a lot."
2026-03-09 11:17:06,3,everything works fine but don't know why tracking and updating of external funds is paused.
2026-03-09 10:49:56,1,"customer care is verey slow, not responding on time, showing wrong data."
2026-03-09 10:46:15,5,"One of the Finest app, I like it"
2026-03-09 10:45:14,1,mtf borrowed m not satisfied
2026-03-09 09:32:23,5,I have been using groww for more than 2 years now and haven't faced any issue. It comes with all the features and yet it's completely free. how great is that.
2026-03-09 09:31:36,1,worst and unable to invest
2026-03-09 09:14:14,5,very very good application and will get full support any time
2026-03-09 08:46:39,3,Fonts are very small ... bug in gtt ( trigger orders )- only few orders are shown under filter- gtt-buy-status open. kindly correct it
2026-03-09 08:45:57,5,this is good app for future plans and saving
2026-03-09 07:43:43,5,Super App ❤ Free and Trusted. SEBI Registered.
2026-03-09 07:29:38,5,please add ( chart under target and Stop loss show price how many cute Stop loss and achieve Target)
2026-03-09 07:20:31,5,It is very good apps
2026-03-09 07:11:28,5,nice best investment tow 👍
2026-03-09 05:42:03,1,Alert! These are fake loan apps. The 5-star ratings are fake and given by their own team. Please read everything before downloading. Don't take any loans from thes
2026-03-09 00:52:38,1,"growing app sirf hume fasane ke liye bani aap hi share lete hi to down , per dusre k share chalte hi profit to hota hi nahi , 3 sal se paise atke hi sub red hi isse to fd jyada dedeta, or F&O to bilkul mut kerna vo hamari position k data age bhejta hi jisse bade log profit kerte hi or hum retailer humesa loss me rehte hi. or kabhi profit ho raha ho to 5 min tak server down ker deta hi jisse hum apni position kut ker k nikal na jaye . isse her bar hota hi. kyoki groww ek american app hi. -5🌟"
2026-03-08 23:43:24,1,ye app bhut bekar or High charges wala hai never use plz ye aapke paiso pe hmesa koi na koi charges katte rhega agar aap beginner hai to account negative kar dega plz never use it....
2026-03-08 22:21:21,4,grow is the great app
